Link,TotalHit,D1,D2,D3,D4,D5,D6,D7,TXUtilization,MaxUtil,Bandwidth(Kbps)
7867,0,58.1800003051758,49.9000015258789,47.5299987792969,57.4900016784668,51.3199996948242,47.3300018310547,53.6699981689453,14.8699998855591,58.1800003051758,206132.0
10899,0,49.8872413635254,46.9315376281738,49.7509307861328,49.5710716247559,52.7085456848145,52.0489387512207,53.0794486999512,8.17661560310721,53.0794486999512,435503.0
8275,0,37.3199996948242,59.8899993896484,44.5400009155273,40.2299995422363,28.4200000762939,27.7299995422363,28.5400009155273,8.48999977111816,59.8899993896484,182507.0
10444,6,92.8998413085938,89.4625473022461,89.5987319946289,89.7305145263672,89.6544036865234,91.2234954833984,79.9671173095703,17.5145177076034,92.8998413085938,158403.0
12128,0,30.2204322814941,31.4733371734619,31.2217216491699,31.5682163238525,26.8374271392822,39.5816688537598,35.2775650024414,4.9119362346571,39.5816688537598,203107.0
8351,0,55.6759414672852,53.0026664733887,47.1991424560547,60.3383750915527,76.276252746582,52.2023887634277,60.4428672790527,7.60767667653864,76.276252746582,158403.0
14575,0,53.2096557617188,58.0247192382813,59.8432807922363,56.278751373291,56.3780670166016,55.4937782287598,51.3734931945801,8.28370687646868,59.8432807922363,308525.0
6215,0,24.6110401153564,23.4613761901855,25.6199359893799,27.5404987335205,27.469181060791,26.5331439971924,35.4317169189453,6.74346797975463,35.4317169189453,396708.0
14550,0,33.4928169250488,29.5865821838379,32.7443962097168,31.0349006652832,28.9085350036621,29.4326591491699,35.4408073425293,11.2000473081318,35.4408073425293,158403.0
6626,0,35.6807632446289,41.7621459960938,43.2890357971191,57.9877777099609,69.6290283203125,64.44482421875,64.286376953125,14.1638615888376,69.6290283203125,159741.0
10359,0,7.6399998664856,8.80000019073486,8.6899995803833,6.13000011444092,5.75,6.36999988555908,8.78999996185303,2.95000004768372,8.80000019073486,184475.0
2030,0,21.5879707336426,36.5489387512207,30.9326362609863,25.8482322692871,23.737117767334,24.7781028747559,32.1082916259766,4.80956070138024,36.5489387512207,187974.0
3349,0,13.5200004577637,18.8099994659424,16.2600002288818,14.1899995803833,20.5400009155273,23.4500007629395,17.25,2.4300000667572,23.4500007629395,206132.0
3707,0,13.6800003051758,11.1999998092651,17.5300006866455,13.710000038147,16.4099998474121,11.0699996948242,10.8900003433228,2.17000007629395,17.5300006866455,159919.0
6000,0,18.6924934387207,8.13893795013428,9.03272342681885,32.6029243469238,28.7268409729004,23.3234424591064,23.1155395507813,10.2539988145436,32.6029243469238,37189.0
12153,0,66.7565689086914,66.7412567138672,63.8499031066895,69.052619934082,65.3598480224609,61.2231864929199,59.8589210510254,12.1169019407026,69.052619934082,354923.0
12107,0,5.4986834526062,5.06143283843994,7.67266416549683,6.44919061660767,4.74666118621826,10.9550628662109,7.51701784133911,1.25642989189224,10.9550628662109,308422.0
4495,0,19.3899993896484,28.4699993133545,27.7099990844727,26.7299995422363,24.3299999237061,37.3400001525879,19.3400001525879,8.90999984741211,37.3400001525879,182141.0
5355,0,20.0499992370605,20.8400001525879,22.4799995422363,21.0300006866455,23.6399993896484,19.2199993133545,23.2000007629395,10.6000003814697,23.6399993896484,218347.0
8982,0,49.1756553649902,50.6167297363281,67.0860443115234,50.7736358642578,52.2587432861328,47.5738754272461,51.899772644043,14.0921820595035,67.0860443115234,88457.0
11836,0,5.5085277557373,7.98323535919189,4.70242881774902,5.47446155548096,3.73898553848267,6.17736482620239,3.10950016975403,1.28404786608028,7.98323535919189,126125.0
8047,0,36.0800018310547,37.4000015258789,42.2999992370605,38.0400009155273,35.9500007629395,33.3499984741211,33.0299987792969,5.86999988555908,42.2999992370605,482090.0
856,0,58.3258209228516,59.7849082946777,65.2218475341797,75.0879669189453,57.3569564819336,57.5101165771484,52.8207855224609,12.2263617659546,75.0879669189453,158403.0
13999,0,25.1252689361572,29.1809329986572,22.9311065673828,25.0648593902588,23.9079723358154,27.6010036468506,28.8960189819336,10.5222437261183,29.1809329986572,88457.0
7963,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182507.0
1737,0,36.2200012207031,30.9799995422363,36.2299995422363,36.6100006103516,38.75,33.8699989318848,34.439998626709,17.0599994659424,38.75,206132.0
